"T12" "maxO3" "vent" "pluie" "Vx12"
"20010601" 18.5 87 "Nord" "Sec" -1.7101
"20010602" 18.4 82 "Nord" "Sec" -4
"20010603" 17.6 92 "Est" "Sec" 1.8794
"20010604" 19.7 114 "Nord" "Sec" 0.3473
"20010605" 20.5 94 "Ouest" "Sec" -2.9544
"20010606" 19.8 80 "Ouest" "Pluie" -5
"20010607" 15.6 79 "Ouest" "Sec" -1.8794
"20010610" 17.5 79 "Nord" "Sec" -1.0419
"20010611" 19.6 101 "Nord" "Sec" -1.0261
"20010612" 21.9 106 "Ouest" "Sec" -2.2981
"20010613" 19.3 101 "Nord" "Sec" -1.5
"20010614" 20.3 90 "Sud" "Sec" -1.0419
"20010615" 19.6 72 "Sud" "Sec" -2.7362
"20010616" 18.2 70 "Ouest" "Pluie" -7.8785
"20010617" 17.4 83 "Nord" "Sec" -2.0521
"20010618" 19.1 88 "Ouest" "Sec" -2.9544
"20010620" 24.6 145 "Ouest" "Sec" -1.5321
"20010621" 22.4 81 "Nord" "Sec" 0.3473
"20010622" 24.2 121 "Est" "Sec" 1.7321
"20010623" 28.6 146 "Sud" "Sec" -1.9284
"20010624" 25.2 121 "Nord" "Sec" -0.5209
"20010625" 32.7 146 "Est" "Sec" 6.5778
"20010626" 23.5 108 "Sud" "Sec" -3.8567
"20010627" 22.9 83 "Ouest" "Sec" -3.9392
"20010628" 22.4 57 "Ouest" "Pluie" -3.8302
"20010629" 25.1 81 "Sud" "Sec" -2.5712
"20010630" 23.4 67 "Ouest" "Sec" -3.0642
"20010701" 22.7 70 "Nord" "Sec" 0
"20010702" 28.4 106 "Est" "Sec" 3.9392
"20010703" 30.1 139 "Sud" "Sec" 2
"20010704" 18.8 79 "Ouest" "Sec" -0.866
"20010705" 18.2 93 "Sud" "Pluie" 0
"20010706" 23.7 97 "Nord" "Sec" 1.7101
"20010707" 18.2 113 "Ouest" "Pluie" -3.9392
"20010708" 21.2 72 "Ouest" "Pluie" -3.9392
"20010709" 22 88 "Ouest" "Sec" -3.0642
"20010710" 20.7 77 "Ouest" "Sec" -5.6382
"20010711" 21 71 "Ouest" "Sec" -6.8937
"20010712" 17.3 56 "Ouest" "Pluie" -3.8302
"20010713" 14.5 45 "Est" "Pluie" 4
"20010714" 18.6 67 "Ouest" "Pluie" -3.7588
"20010715" 19.1 67 "Ouest" "Pluie" -3.7588
"20010716" 20.4 84 "Sud" "Sec" 0.3473
"20010717" 20.5 63 "Ouest" "Pluie" -5.3623
"20010718" 15.6 69 "Ouest" "Pluie" -3.8302
"20010719" 19.1 92 "Nord" "Sec" -4.4995
"20010720" 20.3 88 "Ouest" "Pluie" -3.4641
"20010721" 21.6 66 "Sud" "Sec" -3.5
"20010722" 21.9 72 "Ouest" "Sec" -1.9696
"20010723" 22.5 81 "Nord" "Sec" -1
"20010724" 22.5 83 "Nord" "Sec" -1.0261
"20010725" 26.9 149 "Ouest" "Sec" -0.9397
"20010726" 27.7 153 "Nord" "Sec" 1.5
"20010727" 28.3 159 "Nord" "Sec" 1.2856
"20010728" 27.6 149 "Ouest" "Sec" -1.5321
"20010729" 29.6 160 "Sud" "Sec" -0.684
"20010730" 30.5 156 "Ouest" "Sec" -1.8794
"20010731" 26.3 84 "Nord" "Sec" -0.6946
"20010801" 29.5 126 "Est" "Sec" 3.7588
"20010802" 23.8 116 "Sud" "Pluie" -2.3941
"20010803" 18.2 77 "Ouest" "Pluie" -2.5981
"20010804" 20.6 63 "Ouest" "Pluie" -4.924
"20010805" 18.7 54 "Sud" "Pluie" -2.5
"20010806" 23 65 "Ouest" "Sec" -4.924
