Etat	Pop	Revenu	Apb	Meurtre	Diplome	Region
AL	3615	3624	2.1	15.1	41.3	South
AK	365	6315	1.5	11.3	66.7	West
AZ	2212	4530	1.8	7.8	58.1	West
AR	2110	3378	1.9	10.1	39.9	South
CA	21198	5114	1.1	10.3	62.6	West
CO	2541	4884	0.7	6.8	63.9	West
CT	3100	5348	1.1	3.1	56	Northeast
DE	579	4809	0.9	6.2	54.6	South
FL	8277	4815	1.3	10.7	52.6	South
GA	4931	4091	2	13.9	40.6	South
HI	868	4963	1.9	6.2	61.9	West
ID	813	4119	0.6	5.3	59.5	West
IL	11197	5107	0.9	10.3	52.6	North_Central
IN	5313	4458	0.7	7.1	52.9	North_Central
IA	2861	4628	0.5	2.3	59	North_Central
KS	2280	4669	0.6	4.5	59.9	North_Central
KY	3387	3712	1.6	10.6	38.5	South
LA	3806	3545	2.8	13.2	42.2	South
ME	1058	3694	0.7	2.7	54.7	Northeast
MD	4122	5299	0.9	8.5	52.3	South
MA	5814	4755	1.1	3.3	58.5	Northeast
MI	9111	4751	0.9	11.1	52.8	North_Central
MN	3921	4675	0.6	2.3	57.6	North_Central
MS	2341	3098	2.4	12.5	41	South
MO	4767	4254	0.8	9.3	48.8	North_Central
MT	746	4347	0.6	5	59.2	West
NE	1544	4508	0.6	2.9	59.3	North_Central
NV	590	5149	0.5	11.5	65.2	West
NH	812	4281	0.7	3.3	57.6	Northeast
NJ	7333	5237	1.1	5.2	52.5	Northeast
NM	1144	3601	2.2	9.7	55.2	West
NY	18076	4903	1.4	10.9	52.7	Northeast
NC	5441	3875	1.8	11.1	38.5	South
ND	637	5087	0.8	1.4	50.3	North_Central
OH	10735	4561	0.8	7.4	53.2	North_Central
OK	2715	3983	1.1	6.4	51.6	South
OR	2284	4660	0.6	4.2	60	West
PA	11860	4449	1	6.1	50.2	Northeast
RI	931	4558	1.3	2.4	46.4	Northeast
SC	2816	3635	2.3	11.6	37.8	South
SD	681	4167	0.5	1.7	53.3	North_Central
TN	4173	3821	1.7	11	41.8	South
TX	12237	4188	2.2	12.2	47.4	South
UT	1203	4022	0.6	4.5	67.3	West
VT	472	3907	0.6	5.5	57.1	Northeast
VA	4981	4701	1.4	9.5	47.8	South
WA	3559	4864	0.6	4.3	63.5	West
WV	1799	3617	1.4	6.7	41.6	South
WI	4589	4468	0.7	3	54.5	North_Central
WY	376	4566	0.6	6.9	62.9	West
